电影排名,电影名称,电影评分,评论人数,短评
93,海蒂和爷爷,9.2,198623,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
94,断背山,8.8,495397,每个人心中都有一座断背山。
95,喜剧之王,8.7,594343,我是一个演员。
96,幽灵公主,8.9,364562,人与自然的战争史诗。
97,入殓师,8.8,427764,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
98,绿皮书,8.9,930709,去除成见，需要勇气。
99,阳光灿烂的日子,8.8,417360,一场华丽的意淫。
100,狩猎,9.1,222154,人言可畏。
101,重庆森林,8.7,523001,寂寞没有期限。
102,第六感,8.9,358793,深入内心的恐怖，出人意料的结局。
103,杀人回忆,8.8,399292,关于连环杀人悬案的集体回忆。
104,小森林 夏秋篇,9.0,261310,那些静得只能听见呼吸的日子里，你明白孤独即生活。
105,请以你的名字呼唤我,8.9,385057,沉醉在电影的情感和视听氛围中无法自拔。
106,消失的爱人,8.7,587229,年度最佳date movie。
107,玛丽和马克思,8.9,312063,你是我最好的朋友，你是我唯一的朋友 。
108,告白,8.7,506806,没有一人完全善，也没有一人完全恶。
109,红辣椒,9.0,245423,梦的勾结。
110,爱在黎明破晓前,8.8,372940,缘分是个连绵词，最美不过一瞬。
111,一一,9.0,230976,我们都曾经是一一。
112,哈利·波特与死亡圣器(下),8.8,469219,10年的完美句点。
113,7号房的礼物,8.9,322440,《我是山姆》的《美丽人生》。
114,大鱼,8.8,384610,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
115,侧耳倾听,8.9,291137,少女情怀总是诗。
116,阳光姐妹淘,8.8,418708,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
117,射雕英雄传之东成西就,8.7,426359,百看不厌。 
118,小森林 冬春篇,9.0,228902,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
119,超脱,8.9,294447,穷尽一生，我们要学会的，不过是彼此拥抱。
120,甜蜜蜜,8.8,338088,相逢只要一瞬间，等待却像是一辈子。
121,蝙蝠侠：黑暗骑士崛起,8.7,468631,诺兰就是保证。
122,倩女幽魂,8.7,454809,两张绝世的脸。 
123,驯龙高手,8.7,493987,和谐的生活离不开摸头与被摸头。
124,唐伯虎点秋香,8.6,637163,华太师是黄霑，吴镇宇四大才子之一。
125,菊次郎的夏天,8.8,326320,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
126,萤火之森,8.8,306848,触不到的恋人。
127,恐怖直播,8.8,398562,恐怖分子的“秋菊打官司”。
128,爱在日落黄昏时,8.8,321925,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
129,幸福终点站,8.8,347706,有时候幸福需要等一等。 
130,超能陆战队,8.7,637142,Balalala~~~
131,借东西的小人阿莉埃蒂,8.8,345585,曾经的那段美好会沉淀为一辈子的记忆。
132,无人知晓,9.1,163007,我的平常生活就是他人的幸福。
133,风之谷,8.9,263702,动画片的圣经。
134,神偷奶爸,8.6,641379,Mr. I Don't Care其实也有Care的时候。
135,上帝之城,8.9,216018,被上帝抛弃了的上帝之城。
