title,rank,star,quote,comment
天堂电影院,40,9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,450062
哈尔的移动城堡,41,9.0,带着心爱的人在天空飞翔。,633907
何以为家,42,9.1,凝视卑弱生命，用电影改变命运。,523998
罗马假日,43,9.0,爱情哪怕只有一天。,642589
素媛,44,9.2,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,384170
闻香识女人,45,9.0,史上最美的探戈。,555827
搏击俱乐部,46,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,592630
辩护人,47,9.2,电影的现实意义大过电影本身。,388691
窃听风暴,48,9.1,别样人生。,377645
死亡诗社,49,9.1,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,458759
教父2,50,9.2,优雅的孤独。,333201
指环王2：双塔奇兵,51,9.1,承前启后的史诗篇章。,447684
狮子王,52,9.0,动物版《哈姆雷特》。,507050
两杆大烟枪,53,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,401515
飞越疯人院,54,9.1,自由万岁。,404864
哈利·波特与魔法石,55,9.0,童话世界的开端。,560626
指环王1：魔戒再现,56,9.0,传说的开始。,503230
饮食男女,57,9.1,人生不能像做菜，把所有的料都准备好了才下锅。,361566
大闹天宫,58,9.3,经典之作，历久弥新。,232388
美丽心灵,59,9.0,爱是一切逻辑和原由。,494148
V字仇杀队,60,8.9,一张面具背后的理想与革命。,704584
我不是药神,61,9.0,对我们国家而言，这样的电影多一部是一部。,1354483
黑客帝国,62,9.0,视觉革命。,499386
钢琴家,63,9.1,音乐能化解仇恨。,330009
本杰明·巴顿奇事,64,8.9,在时间之河里感受溺水之苦。,648064
海豚湾,65,9.3,海豚的微笑，是世界上最高明的伪装。,267388
猫鼠游戏,66,9.0,骗子大师和执著警探的你追我跑故事。 ,489622
让子弹飞,67,8.8,你给我翻译翻译，神马叫做TMD的惊喜。,1055382
看不见的客人,68,8.8,你以为你以为的就是你以为的。,739269
情书,69,8.9,暗恋的极致。,600132
西西里的美丽传说,70,8.9,美丽无罪。,630045
小鞋子,71,9.2,奔跑的孩子是天使。,252856
拯救大兵瑞恩,72,9.0,美利坚精神输出大片No1.,416899
美国往事,73,9.2,往事如烟，无处祭奠。,277473
音乐之声,74,9.0,用音乐化解仇恨，让歌声串起美好。,384629
致命魔术,75,8.9,孪生蝙蝠侠大战克隆金刚狼。,554443
穿条纹睡衣的男孩,76,9.1,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,308873
七宗罪,77,8.8,警察抓小偷，老鼠玩死猫。,651710
低俗小说,78,8.8,故事的高级讲法。,553640
被嫌弃的松子的一生,79,8.9,以戏谑来戏谑戏谑。,495029
沉默的羔羊,80,8.8,安东尼·霍普金斯的顶级表演。,550401
蝴蝶效应,81,8.8,人的命运被自己瞬间的抉择改变。,608523
春光乍泄,82,8.9,爱情纠缠，男女一致。,410024
